Date,Open,High,Low,Close
11/07/2023,"1.0717","1.0727","1.0665","1.0701"
11/06/2023,"1.0734","1.0759","1.0716","1.0720"
11/03/2023,"1.0623","1.0748","1.0615","1.0732"
11/02/2023,"1.0571","1.0669","1.0568","1.0622"
11/01/2023,"1.0576","1.0582","1.0519","1.0570"
10/31/2023,"1.0616","1.0675","1.0558","1.0578"
10/30/2023,"1.0566","1.0627","1.0548","1.0617"
10/27/2023,"1.0563","1.0599","1.0536","1.0564"
10/26/2023,"1.0568","1.0576","1.0525","1.0564"
10/25/2023,"1.0592","1.0610","1.0566","1.0567"
10/24/2023,"1.0673","1.0697","1.0584","1.0591"
10/23/2023,"1.0601","1.0679","1.0572","1.0670"
10/20/2023,"1.0583","1.0605","1.0566","1.0596"
10/19/2023,"1.0536","1.0617","1.0529","1.0585"
10/18/2023,"1.0579","1.0596","1.0524","1.0539"
10/17/2023,"1.0561","1.0597","1.0533","1.0577"
10/16/2023,"1.0513","1.0566","1.0508","1.0562"
10/13/2023,"1.0528","1.0561","1.0496","1.0511"
10/12/2023,"1.0620","1.0641","1.0526","1.0531"
10/11/2023,"1.0606","1.0636","1.0586","1.0619"
10/10/2023,"1.0568","1.0622","1.0555","1.0608"
10/09/2023,"1.0562","1.0576","1.0520","1.0569"
10/06/2023,"1.0553","1.0602","1.0483","1.0590"
10/05/2023,"1.0506","1.0554","1.0501","1.0551"
10/04/2023,"1.0469","1.0534","1.0452","1.0505"
10/03/2023,"1.0480","1.0496","1.0449","1.0466"
10/02/2023,"1.0573","1.0594","1.0478","1.0478"
09/29/2023,"1.0567","1.0620","1.0561","1.0573"
09/28/2023,"1.0504","1.0581","1.0492","1.0568"
09/27/2023,"1.0574","1.0580","1.0489","1.0505"
09/26/2023,"1.0594","1.0612","1.0562","1.0573"
09/25/2023,"1.0654","1.0662","1.0576","1.0593"
09/22/2023,"1.0661","1.0674","1.0616","1.0646"
09/21/2023,"1.0661","1.0675","1.0619","1.0663"
09/20/2023,"1.0683","1.0739","1.0650","1.0662"
09/19/2023,"1.0690","1.0720","1.0676","1.0681"
09/18/2023,"1.0676","1.0701","1.0655","1.0692"
09/15/2023,"1.0645","1.0690","1.0634","1.0660"
09/14/2023,"1.0730","1.0756","1.0632","1.0643"
09/13/2023,"1.0754","1.0767","1.0713","1.0732"
09/12/2023,"1.0752","1.0767","1.0706","1.0756"
09/11/2023,"1.0702","1.0761","1.0702","1.0750"
09/08/2023,"1.0698","1.0746","1.0694","1.0703"
09/07/2023,"1.0728","1.0734","1.0687","1.0697"
09/06/2023,"1.0725","1.0751","1.0705","1.0726"
09/05/2023,"1.0795","1.0804","1.0707","1.0722"
09/04/2023,"1.0785","1.0812","1.0772","1.0796"
09/01/2023,"1.0842","1.0883","1.0772","1.0777"
08/31/2023,"1.0924","1.0942","1.0835","1.0844"
08/30/2023,"1.0880","1.0948","1.0856","1.0925"
08/29/2023,"1.0819","1.0895","1.0783","1.0882"
08/28/2023,"1.0798","1.0824","1.0794","1.0822"
08/25/2023,"1.0810","1.0843","1.0767","1.0796"
08/24/2023,"1.0866","1.0880","1.0805","1.0811"
08/23/2023,"1.0848","1.0874","1.0803","1.0864"
08/22/2023,"1.0897","1.0932","1.0833","1.0846"
08/21/2023,"1.0875","1.0916","1.0870","1.0896"
08/18/2023,"1.0867","1.0896","1.0846","1.0873"
08/17/2023,"1.0878","1.0921","1.0857","1.0873"
08/16/2023,"1.0906","1.0937","1.0872","1.0880"
08/15/2023,"1.0905","1.0954","1.0898","1.0907"
08/14/2023,"1.0962","1.0964","1.0876","1.0907"
08/11/2023,"1.0982","1.1007","1.0943","1.0948"
08/10/2023,"1.0977","1.1066","1.0968","1.0983"
08/09/2023,"1.0954","1.0998","1.0952","1.0974"
08/08/2023,"1.1007","1.1015","1.0929","1.0959"
08/07/2023,"1.1028","1.1034","1.0966","1.1004"
08/04/2023,"1.0948","1.1043","1.0935","1.1012"
08/03/2023,"1.0940","1.0964","1.0913","1.0950"
08/02/2023,"1.0985","1.1022","1.0919","1.0939"
08/01/2023,"1.0997","1.1006","1.0954","1.0984"
07/31/2023,"1.1015","1.1048","1.0994","1.0999"
07/28/2023,"1.0979","1.1048","1.0945","1.1019"
07/27/2023,"1.1088","1.1153","1.0966","1.0980"
07/26/2023,"1.1057","1.1109","1.1038","1.1086"
07/25/2023,"1.1065","1.1089","1.1022","1.1056"
07/24/2023,"1.1130","1.1149","1.1061","1.1067"
07/21/2023,"1.1134","1.1147","1.1109","1.1126"
07/20/2023,"1.1202","1.1231","1.1119","1.1131"
07/19/2023,"1.1231","1.1242","1.1175","1.1204"
07/18/2023,"1.1237","1.1277","1.1210","1.1230"
07/17/2023,"1.1250","1.1252","1.1205","1.1240"
07/14/2023,"1.1227","1.1248","1.1205","1.1229"
07/13/2023,"1.1132","1.1230","1.1129","1.1228"
07/12/2023,"1.1012","1.1142","1.1005","1.1130"
07/11/2023,"1.1004","1.1028","1.0978","1.1011"
07/10/2023,"1.0973","1.1007","1.0944","1.1003"
07/07/2023,"1.0889","1.0976","1.0867","1.0970"
07/06/2023,"1.0857","1.0902","1.0834","1.0893"
07/05/2023,"1.0881","1.0910","1.0852","1.0856"
07/04/2023,"1.0912","1.0924","1.0877","1.0880"
07/03/2023,"1.0924","1.0926","1.0871","1.0914"
06/30/2023,"1.0867","1.0934","1.0836","1.0914"
06/29/2023,"1.0915","1.0943","1.0861","1.0864"
06/28/2023,"1.0964","1.0973","1.0898","1.0914"
06/27/2023,"1.0907","1.0979","1.0903","1.0961"
06/26/2023,"1.0937","1.0937","1.0888","1.0909"
06/23/2023,"1.0959","1.0971","1.0845","1.0895"
06/22/2023,"1.0987","1.1013","1.0949","1.0956"
06/21/2023,"1.0921","1.0994","1.0907","1.0990"
06/20/2023,"1.0923","1.0949","1.0893","1.0920"
06/19/2023,"1.0968","1.0968","1.0908","1.0925"
06/16/2023,"1.0949","1.0973","1.0919","1.0945"
06/15/2023,"1.0832","1.0955","1.0804","1.0947"
06/14/2023,"1.0794","1.0866","1.0775","1.0836"
06/13/2023,"1.0761","1.0825","1.0756","1.0796"
06/12/2023,"1.0754","1.0793","1.0733","1.0759"
06/09/2023,"1.0783","1.0789","1.0743","1.0750"
06/08/2023,"1.0699","1.0788","1.0697","1.0785"
06/07/2023,"1.0694","1.0741","1.0669","1.0701"
06/06/2023,"1.0713","1.0734","1.0668","1.0693"
06/05/2023,"1.0728","1.0728","1.0675","1.0715"
06/02/2023,"1.0762","1.0780","1.0705","1.0710"
06/01/2023,"1.0691","1.0772","1.0662","1.0764"
05/31/2023,"1.0733","1.0738","1.0636","1.0689"
05/30/2023,"1.0710","1.0749","1.0673","1.0735"
05/29/2023,"1.0731","1.0746","1.0706","1.0708"
05/26/2023,"1.0724","1.0760","1.0702","1.0729"
05/25/2023,"1.0754","1.0760","1.0709","1.0728"
05/24/2023,"1.0773","1.0804","1.0749","1.0752"
05/23/2023,"1.0814","1.0823","1.0761","1.0771"
05/22/2023,"1.0825","1.0833","1.0796","1.0813"
